Package,LibPath,Version,Priority,Built
rgl,C:/Users/jrl/Documents/R/win-library/3.4,0.98.22,NA,3.4.3
rlang,C:/Users/jrl/Documents/R/win-library/3.4,0.1.6,NA,3.4.3
rmapshaper,C:/Users/jrl/Documents/R/win-library/3.4,0.3.0,NA,3.4.1
rmarkdown,C:/Users/jrl/Documents/R/win-library/3.4,1.8,NA,3.4.3
rngtools,C:/Users/jrl/Documents/R/win-library/3.4,1.2.4,NA,3.4.2
rprojroot,C:/Users/jrl/Documents/R/win-library/3.4,1.3-2,NA,3.4.3
rstudioapi,C:/Users/jrl/Documents/R/win-library/3.4,0.7,NA,3.4.1
rvest,C:/Users/jrl/Documents/R/win-library/3.4,0.3.2,NA,3.4.0
satellite,C:/Users/jrl/Documents/R/win-library/3.4,1.0.1,NA,3.4.3
scales,C:/Users/jrl/Documents/R/win-library/3.4,0.5.0,NA,3.4.1
selectr,C:/Users/jrl/Documents/R/win-library/3.4,0.3-1,NA,3.4.0
servr,C:/Users/jrl/Documents/R/win-library/3.4,0.8,NA,3.4.3
sessioninfo,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
sf,C:/Users/jrl/Documents/R/win-library/3.4,0.6-0,NA,3.4.3
shiny,C:/Users/jrl/Documents/R/win-library/3.4,1.0.5,NA,3.4.1
slam,C:/Users/jrl/Documents/R/win-library/3.4,0.1-42,NA,3.4.3
SnowballC,C:/Users/jrl/Documents/R/win-library/3.4,0.5.1,NA,3.4.1
sotu,C:/Users/jrl/Documents/R/win-library/3.4,1.0.2,NA,3.4.1
sourcetools,C:/Users/jrl/Documents/R/win-library/3.4,0.1.6,NA,3.4.0
sp,C:/Users/jrl/Documents/R/win-library/3.4,1.2-6,NA,3.4.3
spatstat,C:/Users/jrl/Documents/R/win-library/3.4,1.54-0,NA,3.4.3
spatstat.data,C:/Users/jrl/Documents/R/win-library/3.4,1.2-0,NA,3.4.3
spatstat.utils,C:/Users/jrl/Documents/R/win-library/3.4,1.8-0,NA,3.4.3
spData,C:/Users/jrl/Documents/R/win-library/3.4,0.2.6.9,NA,3.4.3
spdep,C:/Users/jrl/Documents/R/win-library/3.4,0.7-4,NA,3.4.3
stopwords,C:/Users/jrl/Documents/R/win-library/3.4,0.9.0,NA,3.4.3
stringi,C:/Users/jrl/Documents/R/win-library/3.4,1.1.6,NA,3.4.2
stringr,C:/Users/jrl/Documents/R/win-library/3.4,1.2.0,NA,3.4.0
styler,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
tensor,C:/Users/jrl/Documents/R/win-library/3.4,1.5,NA,3.4.0
testthat,C:/Users/jrl/Documents/R/win-library/3.4,2.0.0,NA,3.4.3
tibble,C:/Users/jrl/Documents/R/win-library/3.4,1.4.1,NA,3.4.3
tidycensus,C:/Users/jrl/Documents/R/win-library/3.4,0.4,NA,3.4.3
tidyr,C:/Users/jrl/Documents/R/win-library/3.4,0.7.2,NA,3.4.3
tidyselect,C:/Users/jrl/Documents/R/win-library/3.4,0.2.3,NA,3.4.3
tidytext,C:/Users/jrl/Documents/R/win-library/3.4,0.1.6,NA,3.4.3
tidyverse,C:/Users/jrl/Documents/R/win-library/3.4,1.2.1,NA,3.4.3
tigris,C:/Users/jrl/Documents/R/win-library/3.4,0.6.2,NA,3.4.3
tm,C:/Users/jrl/Documents/R/win-library/3.4,0.7-3,NA,3.4.3
tmap,C:/Users/jrl/Documents/R/win-library/3.4,1.11,NA,3.4.3
tmaptools,C:/Users/jrl/Documents/R/win-library/3.4,1.2-2,NA,3.4.3
tokenizers,C:/Users/jrl/Documents/R/win-library/3.4,0.1.4,NA,3.4.2
topicmodels,C:/Users/jrl/Documents/R/win-library/3.4,0.2-7,NA,3.4.3
triebeard,C:/Users/jrl/Documents/R/win-library/3.4,0.3.0,NA,3.4.2
trimcluster,C:/Users/jrl/Documents/R/win-library/3.4,0.1-2,NA,3.4.2
tweenr,C:/Users/jrl/Documents/R/win-library/3.4,0.1.5,NA,3.4.2
udunits2,C:/Users/jrl/Documents/R/win-library/3.4,0.13,NA,3.4.0
units,C:/Users/jrl/Documents/R/win-library/3.4,0.5-1,NA,3.4.3
urltools,C:/Users/jrl/Documents/R/win-library/3.4,1.6.0,NA,3.4.2
usethis,C:/Users/jrl/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
utf8,C:/Users/jrl/Documents/R/win-library/3.4,1.1.3,NA,3.4.3
uuid,C:/Users/jrl/Documents/R/win-library/3.4,0.1-2,NA,3.4.0
V8,C:/Users/jrl/Documents/R/win-library/3.4,1.5,NA,3.4.0
viridis,C:/Users/jrl/Documents/R/win-library/3.4,0.4.1,NA,3.4.3
viridisLite,C:/Users/jrl/Documents/R/win-library/3.4,0.2.0,NA,3.4.0
webshot,C:/Users/jrl/Documents/R/win-library/3.4,0.5.0,NA,3.4.3
whisker,C:/Users/jrl/Documents/R/win-library/3.4,0.3-2,NA,3.4.0
widyr,C:/Users/jrl/Documents/R/win-library/3.4,0.1.0,NA,3.4.2
withr,C:/Users/jrl/Documents/R/win-library/3.4,2.1.1,NA,3.4.3
wordcloud,C:/Users/jrl/Documents/R/win-library/3.4,2.5,NA,3.4.2
xaringan,C:/Users/jrl/Documents/R/win-library/3.4,0.4,NA,3.4.1
XML,C:/Users/jrl/Documents/R/win-library/3.4,3.98-1.9,NA,3.4.0
xml2,C:/Users/jrl/Documents/R/win-library/3.4,1.1.1,NA,3.4.0
xtable,C:/Users/jrl/Documents/R/win-library/3.4,1.8-2,NA,3.4.0
yaml,C:/Users/jrl/Documents/R/win-library/3.4,2.1.16,NA,3.4.3
base,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
boot,C:/Program Files/R/R-3.4.0patched/library,1.3-19,recommended,3.4.0
class,C:/Program Files/R/R-3.4.0patched/library,7.3-14,recommended,3.4.0
cluster,C:/Program Files/R/R-3.4.0patched/library,2.0.6,recommended,3.4.0
codetools,C:/Program Files/R/R-3.4.0patched/library,0.2-15,recommended,3.4.0
compiler,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
datasets,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
foreign,C:/Program Files/R/R-3.4.0patched/library,0.8-67,recommended,3.4.0
graphics,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
grDevices,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
grid,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
KernSmooth,C:/Program Files/R/R-3.4.0patched/library,2.23-15,recommended,3.4.0
lattice,C:/Program Files/R/R-3.4.0patched/library,0.20-35,recommended,3.4.0
MASS,C:/Program Files/R/R-3.4.0patched/library,7.3-47,recommended,3.4.0
Matrix,C:/Program Files/R/R-3.4.0patched/library,1.2-10,recommended,3.4.0
methods,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
mgcv,C:/Program Files/R/R-3.4.0patched/library,1.8-17,recommended,3.4.0
nlme,C:/Program Files/R/R-3.4.0patched/library,3.1-131,recommended,3.4.0
nnet,C:/Program Files/R/R-3.4.0patched/library,7.3-12,recommended,3.4.0
parallel,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
rpart,C:/Program Files/R/R-3.4.0patched/library,4.1-11,recommended,3.4.0
spatial,C:/Program Files/R/R-3.4.0patched/library,7.3-11,recommended,3.4.0
splines,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
stats,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
stats4,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
survival,C:/Program Files/R/R-3.4.0patched/library,2.41-3,recommended,3.4.0
tcltk,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
tools,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
translations,C:/Program Files/R/R-3.4.0patched/library,3.4.0,NA,3.4.0
utils,C:/Program Files/R/R-3.4.0patched/library,3.4.0,base,3.4.0
